input,target,prediction,target_length,levenshtein
C[C@H]1N=C([NH])NC(=N1)O,CC1=NC(=N)NC(O)=N1,NC1=C(N)N=C(=N)N1,18,7
C[C@@H]1N=C([NH])OC(=N1)N,CC1=NC(=N)OC(N)=N1,NC1=C(N)N=C(=N)N1,18,7
C[C@H]1N=C([NH])OC(=N1)O,CC1=NC(=N)OC(O)=N1,NC1=C(O)N=C(=N)O1,18,10
C[C@@H]1NC(=NC(=N1)C)[NH],CC1=NC(C)=NC(=N)N1,CC1=NC(=N)NC(C)=N1,18,6
[NH]C1=C[C@H](N=C(N1)C)O,CC1=NC(O)=CC(=N)N1,CC1=C(N)N=C(=C)O1,18,6
[NH]C1=C[C@H](N=C(O1)C)O,CC1=NC(O)=CC(=N)O1,NC1=C(C(=N)OC(=C)O1,18,8
C[C@@H]1NC(=NC(=N1)O)[NH],CC1=NC(O)=NC(=N)N1,NC1=C(N)N=C(=N)N1,18,5
N[C@H]1NC(=NC(=N1)O)[NH],NC1=NC(O)=NC(=N)N1,NC1=NC(=N)N=C(O)N1,18,6
[NH][C][N]C(=NC(=O)O)O,OC1=NC(O)=NC(=N)O1,NC1=C(O)N=NOC1=O,18,8
O=C=[N]=C([N]C(=O)O)O,OC1=NC(O)=NC(=O)O1,NC1=C(O)OC(=N)O1,18,5
CC1=CN([C@H](N1)[NH])C=O,CC1=CN(C=O)C(=N)N1,CC1=C(N)N=C(=C)O1,18,7
CC1=CN([C@@H](O1)[NH])C=O,CC1=CN(C=O)C(=N)O1,CC1=C(O)NC(=N)O1,18,4
[NH][C@H]1NC(=CN1C=O)N,NC1=CN(C=O)C(=N)N1,N=C1N=C(N1)C=NC(O)=C1,18,11
[NH][C@H]1OC(=CN1C=O)N,NC1=CN(C=O)C(=N)O1,N=C1N=C(O)N=C1CO,18,11
[NH][C@@H]1NC(=CN1C=O)O,OC1=CN(C=O)C(=N)N1,N=C1N=C(O)N=CC1CO,18,13
[NH][C@@H]1OC(=CN1C=O)O,OC1=CN(C=O)C(=N)O1,N=C1OC=C(O1)NC=O,18,12
CC1=CCC(=C(O1)[NH])N,CC1=CC=C(N)C(=N)O1,CC1=C(N)C=C(=N)O1,18,5
CC1=CCC(=C(O1)[NH])O,CC1=CC=C(O)C(=N)O1,CC1=C(O)C(=CO)C(=C)O1,18,6
NC1=NCC(=C(O1)[NH])C,CC1=CN=C(N)OC1=N,NC1=C(C=N)NC(C)=C1O,16,10
OC1=NCC(=C(N1)[NH])C,CC1=CN=C(O)NC1=N,NC1=C(C=N)NC(C)=C1O,16,10
OC1=NCC(=C(O1)[NH])C,CC1=CN=C(O)OC1=N,NC1=C(C=N)OC(=C)O1,16,10
CC1=NCC(=C(O1)[NH])C,CC1=NC=C(C)C(=N)O1,CC1=C(N)C=C(=N)O1,18,5
CC1=NCC(=C(O1)[NH])N,CC1=NC=C(N)C(=N)O1,NC1=C(C=N)NC(C)=C1O,18,10
CC1=NCC(=C(N1)[NH])O,CC1=NC=C(O)C(=N)N1,NC1=C(C=N)NC(C)=C1O,18,11
CC1=NCC(=C(O1)[NH])O,CC1=NC=C(O)C(=N)O1,NC1=C(C=N)OC(=C)O1,18,7
NC1=C[CH]C(=O)[C](N1)N,NC1=CC=C([O-])C(=[NH2+])N1,NC1=C(C=N)N=C(C)O1,26,16
[NH]C1=C(N)N=C[C@H](N1)O,NC1=NC=C(O)NC1=N,NC1=C(N)N=C(=N)N1,16,9
OC1=NCC(=C(O1)[NH])O,OC1=NC=C(O)C(=N)O1,NC1=C(O)C(=N)OC(=N)O1,18,8
CC1=NC(=C(NC1)[NH])O,CC1=CNC(=N)C(O)=N1,NC1=C(C=N)NC(C)=C1O,18,7
CC1=COC(=C(C1)N)[NH],CC1=COC(=N)C(N)=C1,CC1=C(N)C=C(=N)O1,18,8
CC1=COC(=C(C1)O)[NH],CC1=COC(=N)C(O)=C1,CC1=C(O)C(=CO)C(=C)O1,18,8
OC1=NC(=C(NC1)[NH])C,CC1=NC(O)=CNC1=N,NC1=C(C=N)NC(C)=C1O,16,11
O=C1[CH]NC(=C([CH]1)N)N,NC1=CC([O-])=CNC1=[NH2+],NC1=C(C=N)N=C(C)O1,24,15
OC1=COC(=C(C1)N)[NH],NC1=CC(O)=COC1=N,NC1=C(C=N)OC(=C)O1,16,9
NC1=COC(=C(C1)N)[NH],NC1=COC(=N)C(N)=C1,NC1=C(C=N)NC(C)=C1O,18,5
NC1=COC(=C(C1)O)[NH],NC1=COC(=N)C(O)=C1,NC1=C(C=N)OC(=C)O1,18,7
N[C]1NC=C([CH]C1=O)O,OC1=CNC(=[NH2+])C([O-])=C1,N=C1OC=C2=C(O1)C=N2,26,18
OC1=NC(=C(NC1)[NH])O,OC1=CNC(=N)C(O)=N1,NC1=NC(=N)C(O)=C(O)O1,18,7
OC1=COC(=C(C1)O)[NH],OC1=COC(=N)C(O)=C1,NC1=C(OC=C(O)C(=O)O1,18,9
CC1=CN[C@@H](N1C=O)[NH],CC1=CNC(=N)N1C=O,CN1C=C(N)N=CC1=O,16,7
CC1=CO[C@H](N1C=O)[NH],CC1=COC(=N)N1C=O,N=C1N=C(C=O)C=C1CO,16,10
O=CN1[C@@H]([NH])NC=C1N,NC1=CNC(=N)N1C=O,N=C1NC=NC(C=O)=N1,16,9
O=CN1[C@@H]([NH])OC=C1N,NC1=COC(=N)N1C=O,N=C1N=C(O)N=CC1CO,16,9
[NH][C@H]1NC=C(N1C=O)O,OC1=CNC(=N)N1C=O,N=C1N=C(O)N=C1CO,16,10
[NH]C1=NC=C([C@@H](N1)N)N,NC1=C[N-]C(=N)[NH+]=C1N,CN1N=C(N)N=CC1=N,23,14
CC1=C([NH])N[C@H](OC1)[NH],CC1=COC(=N)NC1=N,CC1=C(N)NC(=C)O1,16,8
[NH][C@@H]1OCC(=C(N1)[NH])N,NC1=COC(=N)NC1=N,CC1=NC(=N)NC(=N)O1,16,7
[NH]C1=C(O)CO[C@H](N1)[NH],OC1=COC(=N)NC1=N,NC1=C(N)OC(=N)O1,16,8
O=C1[CH]OC=C([C]1N)C,CC1=COC=C([O-])C1=[NH2+],CC1=COC2=C(O)C1=N2,24,8
[NH]C1=C(O)CNC=C1N,NC1=CNC=C(O)C1=N,N=C1N=C(C=N1)C=CO,16,9
O=C1[CH]OC=C([C]1N)N,NC1=COC=C([O-])C1=[NH2+],N=C1OC=C2=C(O1)C=N2,24,12
[NH]C1=C(O)CNC=C1O,OC1=CNC=C(O)C1=N,N=C1N=C(C=O)C=C1CO,16,10
[NH]C1=CCN=C(N1C)O,CN1C(=N)C=CN=C1O,N=C1N=C(C=N1)C=CO,16,10
C[C@@H]1N=CN=C(N1C)[NH],CN1C(=N)N=CN=C1C,CN1N=CC(=N)N=C1C,16,6
[NH][C@H]1OC(=C(N1C)C)C,CN1C(=N)OC(C)=C1C,CC1CC(C)C1=NC(=N)O1,17,13
[NH][C@H]1OC(=C(N1C)O)C,CN1C(=N)OC(C)=C1O,CC1C(N1C(=N)OC([NH3+])=C1,17,11
[NH][C@@H]1OC(=C(N1C)C)N,CN1C(=N)OC(N)=C1C,CC1C(N)C(=N)N1C,17,6
[NH][C@@H]1OC(=C(N1C)N)N,CN1C(=N)OC(N)=C1N,CN1N=C(N)N=C1C(=N)O,17,11
[NH][C@@H]1OC(=C(N1C)O)N,CN1C(=N)OC(N)=C1O,NC1=C(N)OC(=N)O1,17,8
[NH][C@@H]1OC(=C(N1C)C)O,CN1C(=N)OC(O)=C1C,CC1C(N1C([NH3+])C1C([O-])=O,17,17
[NH][C@H]1OC(=C(N1C)N)O,CN1C(=N)OC(O)=C1N,NC1=C(N)OC(=N)O1,17,9
[NH][C@H]1OC(=C(N1C)O)O,CN1C(=N)OC(O)=C1O,NC1=C(O)OC(=N)O1,17,10
CN1[C@@H]([NH])OC=C1C#C,CN1C(=N)OC=C1C#C,N=C1NC(=C#C)O1C,16,11
CN1[C@H]([NH])OC=C1C#N,CN1C(=N)OC=C1C#N,N=C1NC(=N1)C#C,16,10
CN1[C@H]([NH])OC=C1C=O,CN1C(=N)OC=C1C=O,N=C1N=C(C=O)C=C1CO,16,8
[NH][C@@H]1OCC=C(N1C)[NH],CN1C(=N)OC=CC1=N,CCC1=C(N)NC(=N)O1,16,11
[NH][C@@H]1OC=N[C@@H](N1C)[NH],CN1C(=N)OC=NC1=N,NC1=CNC(=N)N1C=O,16,11
CN1C=C(O[C@H]1[NH])C#C,CN1C=C(OC1=N)C#C,N=C1NC(=C#C)O1C,16,10
CN1C=C(O[C@@H]1[NH])C#N,CN1C=C(OC1=N)C#N,N=C1NC(=N1)C#C,16,8
CN1C=C(O[C@H]1[NH])C=O,CN1C=C(OC1=N)C=O,N=C1N=C(C=O)C=C1CO,16,10
CC1=CN(C)CN=C1[NH],CN1C=NC(=N)C(C)=C1,CN1C=CN=C(C)C=C1=N,18,7
CN1CN=C(C(=C1)N)[NH],CN1C=NC(=N)C(N)=C1,NC1=CNC(=N)C(C)=N1,18,6
CN1CN=C(C(=C1)O)[NH],CN1C=NC(=N)C(O)=C1,NC1=C(C=N)NC(C)=C1O,18,8
CN1C=CC(=N[C@H]1O)[NH],CN1C=CC(=N)N=C1O,N=C1N=C(C=N1)C=CO,16,9
C[C@H]1N=C([NH])N=CN1C,CN1C=NC(=N)N=C1C,CN1N=CC=C(N)N=C1C,16,5
CN1C=NC(=N[C@H]1O)[NH],CN1C=NC(=N)N=C1O,N=C1N=C(N1)C=NC(O)=C1,16,12
C[C@H]1N=CN(C(=N1)[NH])C,CN1C=NC(C)=NC1=N,CC1=NC(=N)NC(C)=N1,16,9
O[C@@H]1N=CN(C(=C1)[NH])C,CN1C=NC(O)=CC1=N,CC1=C(N)N=C(=C)O1,16,10
CN1CN=C(N=C1[NH])O,CN1C=NC(O)=NC1=N,NC1=NC(=N)N=C(O)C1,16,12
CN1C=CN([C@H]1[NH])C=O,CN1C=CN(C=O)C1=N,N=C1N=C(C=N1)C=CO,16,10
OC1=C([NH])N(C=NC1)C,CN1C=NC=C(O)C1=N,NC1=C(C=N)NC(C)=C1O,16,11
C[C@H]1C[C@@H]2N1[C@@H]([NH])OC2,CC1CC2=COC(=N)N12,CC1C2CC1N=C2O,17,9
C[C@H]1CN2[C@@H]1CO[C@@H]2[NH],CC1CN2C1=COC2=N,CN1C2C3C1C2C3N1C2,15,10
[NH][C@H]1OC[C@H]2N1C[C@@H]2N,NC1CN2C1=COC2=N,N=C1NC2=CC(CC2)O1,15,10
O[C@H]1CN2[C@@H]1CO[C@@H]2[NH],OC1CN2C1=COC2=N,N=C1OC2=CNC2C1,15,9
C[N]C1=NCN(C=C1)C,CN=C1C=CN(C)C=N1,CN1N=CC=C2C1N=C2,16,9
C[N]C1=NCN(C=N1)C,CN=C1N=CN(C)C=N1,NC1=CNC2=CN=C1N,16,9
CN1CN=CN=C1[N]C,CN=C1N=CN=CN1C,N=C1NN=CN=CC2C1CN12,14,8
C[N]C1=N[C@@H](NC=C1)O,CN=C1C=CNC(O)=N1,CC1=C(N)N=CNC1=O,16,11
CN=c1ccoc(n1)O,CN=C1C=COC(O)=N1,NC1=C(C=N)OC=C1)C=N,16,10
C[N]C1=N[C@@H](NC=N1)C,CN=C1N=CNC(C)=N1,CN1N=CC=C(N)N=C1,16,7
C[N]C1=NC=N[C@@H](N1)N,CN=C1N=C[N-]C(N)=[NH+]1,NC1=NC(=N)N=CN1,23,13
C[N]C1=N[C@@H](O)NC=N1,CN=C1N=CNC(O)=N1,N=C1NC=C(N1)C=N,16,7
C[N]C1=N[C@@H](N)OC=N1,CN=C1N=COC(N)=N1,N=C1NC=C(N1)C=N,16,6
CN=c1ccocc1O,CN=C1C=COC=C1O,N=C1OC=C=CC1C=CO2,14,8
C[N]C1=NCNC=C1N,CN=C1N=CNC=C1N,N=C1NN=CN=CC2C1CN12,14,8
C[N]C1=NCNC=C1O,CN=C1N=CNC=C1O,N=C1N=CN=CC2=C1C(O2)C=N1,14,12
CN=C1C=CO[C@H](N1)[NH],CN=C1NC(=N)OC=C1,N=C1N=C(C=N1)C=CO,16,6
C[N]C1=NC=N[C@@H](N1)C,CN=C1NC(C)=NC=N1,CN1N=CC=C(N)N=C1,16,8
C[N]C1=NC=N[C@@H](O1)C,CN=C1OC(C)=NC=N1,CC1=C(N)N=CNC1=O,16,9
C[N]C1=CCC=C(O1)O,CN=C1OC(O)=CC=C1,CC1=COC2=C(OC1)C(=N)O2,16,14
C[N]C1=NC=C(CN1)O,CN=C1NC=C(O)C=N1,NC1=CNC2=C(C1)O2,16,10
C[N]C1=CC=C(CO1)N,CN=C1OC=C(N)C=C1,CN1C2=CC1OC=N2,16,9
C[N]C1=CCC(=CO1)O,CN=C1OC=C(O)C=C1,CC1=COC2=C(OC1)C(=N)O2,16,11
CN=C1NC(=CCO1)[NH],CN=C1NC(=N)C=CO1,N=C1N=C(C=N1)C=CO,16,5
CN=C1N[C@H]([NH])N=CO1,CN=C1NC(=N)N=CO1,N=C1N=C(N1)C=NC(O)=C1,16,10
C[N]C1=N[C@@H](N=CN1)C,CN=C1NC=NC(C)=N1,CN1N=CC=C(N)N=C1,16,8
C[N]C1=NC(=NCN1)O,CN=C1NC=NC(O)=N1,NC1=NC(C=N)N=C1O,16,10
C[N]C1=C[C@H](C=CO1)N,CN=C1OC=CC(N)=C1,CC1C2C3N=C1C(N2)OC=N2,16,12
C[N]C1=C[C@@H](C=CO1)O,CN=C1OC=CC(O)=C1,CC1C2C1[NH2+]C2C1C([O-])=O,16,17
C[N]C1=C[C@H](N=CO1)N,CN=C1OC=NC(N)=C1,N=C1NC=C(C=O)N1C=C,16,10
C[N]C1=C(N)CC=CO1,CN=C1OC=CC=C1N,CN1C2=CC1OC=N2,14,8
C[N]C1=C(O)CC=CO1,CN=C1OC=CC=C1O,CC1=COC2=C(OC1)C(=N)O2,14,13
C[N]C1=C(O)CN=CO1,CN=C1OC=NC=C1O,NC1=C(OC=NC=[NH2+])C1C=O,14,12
NC=NC1=CO[C@@H](O1)[NH],NC=NC1=COC(=N)O1,N=C1NC(=O)N=CC1CO,16,11
[NH2]=CNc1coc(=O)[nH]1,NC=[NH+]C1=COC(=O)[N-]1,N=C1N=C2OC(O1)=N2,23,14
NC=Nc1cocc1O,NC=[NH+]C1=COC=C1[O-],N=C1NC=C(O1)C=CO1,21,14
O=C1[CH]OC(=C)[C]1C.N,CC1=C(C[NH3+])OC=C1[O-],CC1=CC([NH3+])C([O-])=C1CO,23,11
C=C1OC=C(C1=O)C.N,CC1=COC(C[NH3+])=C1[O-],CC1=C(C[NH3+])C([O-])=C1[O,23,10
C=C1OC=C(C1=O)N.N,NC1=COC(C[NH3+])=C1[O-],NC1=C(C[NH3+])C([O-])=C1[O,23,10
C=C1OC=C(C1=O)O.N,[NH3+]CC1=C([O-])C(O)=CO1,[NH3+]CC1=C(C([O-])O)=C(O1)O,25,7
O=C1OC(=C)C(=C1)C.N,CC1=C(C[NH3+])OC([O-])=C1,CC1(CC[NH3+])C([O-])=OC1)C(C([O,25,11
O=C1OC(=C)C(=N1)C.N,CC1=C(C[NH3+])OC([O-])=N1,CC1=C(NC([O-])=C([NH3+])O1)C(C([O)=O,25,18
CC1=CC(=O)C(=C)O1.N,CC1=CC([O-])=C(C[NH3+])O1,CC1(CC[NH3+])C([O-])=OC1)C(C([O,25,19
O=C1[CH]C(=C(O1)[CH2])N.N,NC1=C(C[NH3+])OC([O-])=C1,CC1=C(N)OC(=C)O1,25,13
NC1=CC(=O)C(=C)O1.N,NC1=CC([O-])=C(C[NH3+])O1,CC1=C(NC([O-])=C([NH3+])O1)C(C([O)=O,25,14
O=C1OC(=C)C(=N1)O.N,[NH3+]CC1=C(O)N=C([O-])O1,NC1=C(C([O-])=O)NC([NH3+])O1,25,18
NCC1=C(C)O[C@@H](N1)[NH],CC1=C(CN)NC(=N)O1,CC1C(N)C(=N)N1C,17,5
OCC1=C(C)O[C@H](N1)[NH],CC1=C(CO)NC(=N)O1,CC1C(N1C([NH3+])C([O-])=O,17,16
OCC1=C(C)N[C@@H](O1)[NH],CC1=C(CO)OC(=N)N1,CC1C(N1C([NH3+])C([O-])=O,17,17
OCC1=C(C)O[C@@H](O1)[NH],CC1=C(CO)OC(=N)O1,CC1C([NH3+])C1C([O-])=O,17,15
CCC1=C(C)N[C@H](O1)[NH],CCC1=C(C)NC(=N)O1,CC1CC(C)C1=NC(=N)O1,17,5
CCC1=C(C)O[C@@H](N1)[NH],CCC1=C(C)OC(=N)N1,CC1CC(C)C1=NC(=N)O1,17,7
CCC1=C(C)O[C@H](O1)[NH],CCC1=C(C)OC(=N)O1,CC1CC([NH3+])C1C([O-])=O,17,16
CCC1=C(N)O[C@@H](N1)[NH],CCC1=C(N)OC(=N)N1,CC1C(N)C(=N)N1C,17,4
CCC1=C(N)O[C@H](O1)[NH],CCC1=C(N)OC(=N)O1,CC1C(N1C([NH3+])C([O-])=O,17,16
CCC1=C(O)N[C@@H](O1)[NH],CCC1=C(O)NC(=N)O1,CC1C(N1C([NH3+])C([O-])=O,17,17
CCC1=C(O)O[C@H](O1)[NH],CCC1=C(O)OC(=N)O1,CC1C([NH3+])C1C([O-])=O,17,16
CNC1=C(C)N[C@@H](O1)[NH],CNC1=C(C)NC(=N)O1,CC1C(N)C(=N)N1C,17,6
CNC1=C(C)O[C@H](N1)[NH],CNC1=C(C)OC(=N)N1,CC1=C(N)NC(=C)O1,17,5
CNC1=C(C)O[C@H](O1)[NH],CNC1=C(C)OC(=N)O1,CC1C(N1C([NH3+])C([O-])=O,17,18
CNC1=C(N)N[C@H](O1)[NH],CNC1=C(N)NC(=N)O1,NC1=C(N)NC(=N)O1,17,1
CNC1=C(N)O[C@@H](N1)[NH],CNC1=C(N)OC(=N)N1,CN1N=C(N)N=C1C(=N)O,17,8
CNC1=C(N)O[C@@H](O1)[NH],CNC1=C(N)OC(=N)O1,NC1=C(N)OC(=N)O1,17,1
CNC1=C(O)O[C@@H](N1)[NH],CNC1=C(O)OC(=N)N1,NC1=C(N)OC(=N)O1,17,3
CNC1=C(O)O[C@H](O1)[NH],CNC1=C(O)OC(=N)O1,NC1=C(O)OC(=N)O1,17,1
COC1=C(C)O[C@H](N1)[NH],COC1=C(C)OC(=N)N1,CC1C(N1C([NH3+])C([O-])=O,17,18
COC1=C(C)O[C@@H](O1)[NH],COC1=C(C)OC(=N)O1,CC1C([NH3+])C1C([O-])=O,17,16
COC1=C(N)N[C@@H](O1)[NH],COC1=C(N)NC(=N)O1,NC1=C(N)OC(=N)O1,17,3
COC1=C(N)O[C@@H](O1)[NH],COC1=C(N)OC(=N)O1,NC1=C(O)OC(=N)O1,17,3
COC1=C(O)O[C@@H](O1)[NH],COC1=C(O)OC(=N)O1,[NH3+]C1(COC1)C([O-])=O,17,17
OCC1=C(N)O[C@@H](N1)[NH],NC1=C(CO)NC(=N)O1,NC1=C(N)OC(=N)O1,17,3
OCC1=C(N)N[C@@H](O1)[NH],NC1=C(CO)OC(=N)N1,NC1=C(N)OC(=N)O1,17,3
OCC1=C(N)O[C@@H](O1)[NH],NC1=C(CO)OC(=N)O1,NC1=C(O)OC(=N)O1,17,1
NCC1=C(N)O[C@@H](N1)[NH],NCC1=C(N)OC(=N)N1,CN1N=C(N)N=C1C(=N)O,17,9
[NH]c1nc(c(o1)[CH2])O.N,[NH3+]CC1=C(O)[N-]C(=N)O1,NC1=C(NC2)OC(=N)O1,25,12
O=C1OC(=C)C(=O)N1.N,[NH3+]CC1=C([O-])NC(=O)O1,NC1=C(C([O-])=O)NC([NH3+])O1,25,17
O=C1OC(=O)C(=C)O1.N,[NH3+]CC1=C([O-])OC(=O)O1,[NH3+]C1(CC(O)C([O-])=O)O1,25,9
OCC1=C(O)O[C@H](O1)[NH],OCC1=C(O)OC(=N)O1,NC1(C([O-])=O)C(O1O,17,12
[CH2]C(=C[C][O])C(=O)C.N,CC1=C(C[NH3+])C=C([O-])O1,CCC1(C[NH3+])C([O-])=O,25,7
NCc1cc(oc1O)C,CC1=CC(C[NH3+])=C([O-])O1,NC1=C(CC(=O)C(C1)C=CO1,25,15
CC1=NC(=C)C(=O)O1.N,CC1=NC(C[NH3+])=C([O-])O1,CC1=C(NC([O-])=C([NH3+])O1)C(C([O)=O,25,18
[CH2]C(=C[C][O])C(=O)N.N,NC1=C(C[NH3+])C=C([O-])O1,CC([NH3+])C1=C([O-])=OC(N)C([O1,25,14
NC1=CC(=C)C(=O)O1.N,NC1=CC(C[NH3+])=C([O-])O1,CC1=C(NC([O-])=C([NH3+])O1)C(C([O)=O,25,19
NC1=NC(=C)C(=O)O1.N,NC1=NC(C[NH3+])=C([O-])O1,NC1=C(NC([NH3+])C([O-])=O)N1,25,7
OC1=CC(=C)C(=O)O1.N,[NH3+]CC1=C([O-])OC(O)=C1,[NH3+]C1(CCC1)C([O-])=O,25,12
OC1=NC(=C)C(=O)O1.N,[NH3+]CC1=C([O-])OC(O)=N1,NC1=C(C([O-])=O)NC([NH3+])O1,25,19
NCc1c(C)occ1O,CC1=C(C[NH3+])C([O-])=CO1,NC1=C(CC(=O)C(C1)C=CO1,25,12
NCc1c(O)occ1C,CC1=COC([O-])=C1C[NH3+],NC1=C(CC(=O)C(C1)C=CO1,23,15
NCc1c(N)occ1O,NC1=C(C[NH3+])C([O-])=CO1,NC1=C(NC=N1)C(O)=CO1,25,9
NC1=C([CH2])C(=O)O[CH]1.N,NC1=COC([O-])=C1C[NH3+],CC1=C(N)OC(=C)O1,23,16
CC[C@H]1NC=NC(=C1)[NH],CCC1=CC(=N)N=CN1,CC1=CNC=C(N)C=C1,16,7
CC[C@H]1OC=NC(=C1)[NH],CCC1=CC(=N)N=CO1,CC1=C(C=N)N=CC1C=O,16,7
CC[C@H]1NC=NC(=N1)[NH],CCC1=NC(=N)N=CN1,CN1N=CC=C(N)N=C1C,16,9
CCC1=N[C@@H](N=CO1)[NH],CCC1=NC(=N)N=CO1,CN1C=C(N)N=CC1=O,16,8
CN[C@@H]1OC=NC(=C1)[NH],CNC1=CC(=N)N=CO1,CN1C=C(N)N=CC1=O,16,7
CN[C@H]1OC=CC(=N1)[NH],CNC1=NC(=N)C=CO1,N=C1N=C(C=N1)C=CO,16,7
CN[C@@H]1NC(=NC=N1)[NH],CNC1=[NH+]C(=N)N=C[N-]1,NC1=NC(=N)N=CNC1=N,23,10
CN[C@@H]1OC=NC(=N1)[NH],CNC1=NC(=N)N=CO1,N=C1NC=NC(C=O)=N1,16,9
CO[C@@H]1OC=NC(=C1)[NH],COC1=CC(=N)N=CO1,N=C1NC=C(O1)C=CO,16,8
COC1=NC(=CCN1)[NH],COC1=NC(=N)C=CN1,N=C1N=C(C=N1)C=CO,16,8
COC1=NC(=CCO1)[NH],COC1=NC(=N)C=CO1,N=C1N=C(C=O)C=C1CO,16,9
CO[C@@H]1NC=NC(=N1)[NH],COC1=NC(=N)N=CN1,N=C1NC=NC(C=O)=N1,16,8
COC1=N[C@H](N=CO1)[NH],COC1=NC(=N)N=CO1,N=C1N=C(O)N=C1CO,16,9
NCc1ncnc(=O)[nH]1,[NH3+]CC1=NC(=O)N=C[N-]1,NC1=C(N=NC=N1)C(O)=CN1,24,17
[NH]C1=NCNC(=C1)CO,OCC1=CC(=N)N=CN1,N=C1N=C(C=N1)C=CO,16,9
[NH]C1=N[C@@H](NC=C1)CO,OCC1=NC(=N)C=CN1,CN1C=C(N)N=CC1=O,16,9
[NH]C1=N[C@@H](CO)NC=N1,OCC1=NC(=N)N=CN1,N=C1NC=NC(C=O)=N1,16,8
[NH][C@@H]1N=C(CO)OC=N1,OCC1=NC(=N)N=CO1,N=C1N=C(O)N=CC1CO,16,9
CC[C@H]1C=COC(=C1)[NH],CCC1=CC(=N)OC=C1,CC1C2C3C1CC1C=COC23N1,16,13
CC[C@@H]1C=C([NH])OC=N1,CCC1=CC(=N)OC=N1,CC1CC2=C(N)N=CC1C,16,10
CC[C@H]1N=C([NH])NC=N1,CCC1=NC(=N)NC=N1,CN1N=CC=C(N)N=C1C,16,10
CN[C@H]1C=COC(=C1)[NH],CNC1=CC(=N)OC=C1,CC1=C(C=N)N=CC1C=O,16,9
CN[C@H]1C=C([NH])OC=N1,CNC1=CC(=N)OC=N1,N=C1N=C(C=N1)C=CO,16,9
CO[C@H]1C=C([NH])NC=N1,COC1=CC(=N)NC=N1,N=C1N=C(C=N1)C=CO,16,9
CO[C@H]1C=C([NH])OC=N1,COC1=CC(=N)OC=N1,N=C1N=C(C=O)C=C1CO,16,10
NC[C@H]1N=CNC(=N1)[NH],NCC1=NC(=N)NC=N1,N=C1NN=C(C)=NC1,16,8
OC[C@@H]1C=COC(=C1)[NH],OCC1=CC(=N)OC=C1,CC1C2C1[NH2+]C([O-])=O,16,17
[NH]C1=N[C@@H](N=CN1)CO,OCC1=NC(=N)NC=N1,N=C1NC=NC(C=O)=N1,16,8
[CH2]C1=C[C](C(=O)O1)C.N,CC1=C([O-])OC(C[NH3+])=C1,CC1=CC([NH3+])C([O-])=C1C([O,25,15
C=C1OC(=O)C(=C1)O.N,[NH3+]CC1=CC(O)=C([O-])O1,[NH3+]C1(CCC1)C([O-])=O,25,7
CCC1=CN([C@H](O1)[NH])C,CCC1=CN(C)C(=N)O1,CC1CC(C)C1=NC(=N)O1,17,7
CN1C=C(O[C@@H]1[NH])CO,CN1C=C(CO)OC1=N,CC1C([NH2+]C1CN1)C([O-])=O,15,18
CNC1=CN([C@H](O1)[NH])C,CNC1=CN(C)C(=N)O1,CC1=C(N)NC(=C)O1,17,5
COC1=CN([C@@H](O1)[NH])C,COC1=CN(C)C(=N)O1,CC1C(N1C([NH3+])C([O-])=O,17,17
CCC1=CCC=C(O1)[NH],CCC1=CC=CC(=N)O1,CC1=CC=C(O)C=CC1=N,16,10
CC[C@@H]1NC(=NC=N1)[NH],CCC1=NC=NC(=N)N1,CN1N=CC(=N)N=C1C,16,8
CC[C@@H]1OC(=NC=N1)[NH],CCC1=NC=NC(=N)O1,CN1C=C(N)N=CC1=O,16,12
CNC1=CCC=C(O1)[NH],CNC1=CC=CC(=N)O1,N=C1NC=C(C=C=O1)C=C1,16,12
COC1=CCC=C(O1)[NH],COC1=CC=CC(=N)O1,N=C1OC=C=C(C=O1)C=CO1,16,11
[NH]C1=CCC=C(O1)CO,OCC1=CC=CC(=N)O1,N=C1OC=C=C(C=O1)C=CO1,16,11
[NH]C1=NC=N[C@@H](N1)CO,OCC1=NC=NC(=N)N1,N=C1NC=NC(C=O)=N1,16,6
[NH]C1=NC=N[C@H](O1)CO,OCC1=NC=NC(=N)O1,N=C1N=C(O)N=C1CO,16,11
NCc1ncncc1O,[NH3+]CC1=NC=NC=C1[O-],N=C1N=CNC=C(C=N1)C=C1,22,16
CCC1=C([NH])OC=NC1,CCC1=CN=COC1=N,N=C1NC=C(C=C=O1)C=C1,14,12
CNC1=C([NH])OC=CC1,CNC1=CC=COC1=N,N=C1NC=C(C=C=O1)C=C1,14,11
CNC1=C([NH])OC=NC1,CNC1=CN=COC1=N,N=C1N=C(C=N1)C=CO,14,11
COC1=C([NH])OC=CC1,COC1=CC=COC1=N,N=C1OC=C=C(C=O1)C=CO1,14,12
COC1=C([NH])NC=NC1,COC1=CN=CNC1=N,N=C1N=C(C=N1)C=CO,14,11
COC1=C([NH])OC=NC1,COC1=CN=COC1=N,N=C1N=C(C=O)C=C1CO,14,10
COC1=C([NH])NCC=N1,COC1=NC=CNC1=N,N=C1N=C(C=N1)C=CO,14,11
OCC1=C([NH])NCC=N1,OCC1=NC=CNC1=N,N=C1N=C(C=N1)C=CO,14,11
CN1[C@H]([NH])OC=C1CC,CCC1=COC(=N)N1C,CC1CCC1=C(=N)NC(=C)O1,15,11
